brand,deal_url,label,source_url,region,found_at
cafeappliances,https://www.myapstore.com/GEStore/CAFE/idme/idmeout,VERIFY & SHOP,https://www.cafeappliances.com/professional-discounts,us,2026-08-23 05:33:34
cafeappliances,http://cafeappliancespromotions.com/,SUBMIT A CLAIM ONLINE,https://www.cafeappliances.com/offers/express-yourself-appliance-rebate/,us,2026-08-23 05:35:17
dyson,https://cna.st/affiliate-link/7BxSbB2fAMuusDptQVktDAEsoUL11FuxVkhZTLvaYnWuoXwMbWKMU5vmrCezDxD3sy53QkWK7nycz8FhtCKQbUTS5QBC1VYp4gi5QP5k3JSyYiLAY62UM7D7txTT6nDJGxWwiptNUh36E1UKhBfgn2P4UZqqCTZNUTHJ28CoZ3XiNJyZ4XZVE7faSXfZFTLp1vGezhKpstihbNe1vVx4ZxnK7xeTjhXnAfVJZuNRf22xf84tg4wWZmvx4LEoACouuW4RhP38Bapnoz7P9wBn4LcEZuDxpxLFFfps81oq9rmNupzs7hfTLQ4az5yDwAPDhbRY5sXBMFnD?xid=fr1787445414982ded,Dyson owners get rewarded,https://www.wired.com/story/dyson-cordless-vacuum-promo-code/,us,2026-08-23 05:36:58
dyson,https://www.homesandgardens.com/tag/shopping,SHOPPING,https://www.homesandgardens.com/coupons/dyson,us,2026-08-23 05:39:10
dyson,https://www.marieclaire.com.au/shopping/,SHOPPING,https://www.marieclaire.com.au/discount-codes/dyson.com.au/,us,2026-08-23 05:41:03
dyson,https://www.marieclaire.com.au/discount-codes/shavershop.com.au/,Shaver Shop,https://www.marieclaire.com.au/discount-codes/dyson.com.au/,us,2026-08-23 05:41:04
dyson,https://www.latimes.com/hotproperty/shopping,SHOP,https://www.latimes.com/deals/story/dyson-promo-code,us,2026-08-23 05:43:31
cafeappliances,https://www.myapstore.com/GEStore/CAFE/idme/idmeout,VERIFY & SHOP,https://www.cafeappliances.com/professional-discounts,us,2026-08-23 06:27:21
cafeappliances,http://cafeappliancespromotions.com/,SUBMIT A CLAIM ONLINE,https://www.cafeappliances.com/offers/express-yourself-appliance-rebate/,us,2026-08-23 06:28:37
dyson,https://cna.st/affiliate-link/7BxSbB2fAMuusDptQVktDAEsoUL11FuxVkhZTLvaYnWuoXwMbWKMU5vmrCezDxD3sy53QkWK7nycz8FhtCKQbUTS5QBC1VYp4gi5QP5k3JSyYiLAY62UM7D7txTT6nDJGxWwiptNUh36E1UKhBfgn2P4UZqqCTZNUTHJ28CoZ3XiNJyZ4XZVE7faSXfZFTLp1vGezhKpstihbNe1vVx4ZxnK7xeTjhXnAfVJZuNRf22xf84tg4wWZmvx4LEoACouuW4RhP38Bapnoz7P9wBn4LcEZuDxpxLFFfps81oq9rmNupzs7hfTLQ4az5yDwAPDhbRY5sXBMFnD?xid=fr1787448619508jfd,Dyson owners get rewarded,https://www.wired.com/story/dyson-cordless-vacuum-promo-code/,us,2026-08-23 06:30:39
